unique_id,name_id,state_abbrev,senator_from,senator_to,senator_end_reason,sec15_sel
Keane1881,KE4,VIC,1938-07-01,1946-04-26,Died,0.0
Keating1872,KPE,TAS,1901-03-29,1923-06-30,Defeated,0.0
Keeffe1919,KPG,QLD,1965-07-01,1983-02-04,Retired,0.0
Kemp1944,WW4,VIC,1990-07-01,2008-06-30,Retired,0.0
Kendall1899,KPI,QLD,1949-12-10,1965-06-30,Retired,0.0
Keneally1968,LNW,NSW,2018-02-14,,,0.0
Kennelly1900,KPK,VIC,1953-07-01,1971-06-30,Retired,0.0
Kernot1948,XW4,QLD,1990-07-01,1997-10-15,Resigned,0.0
Ketter1961,244247,QLD,2014-07-01,2019-06-30,,0.0
Kilgariff1923,KPO,NT,1975-12-13,1987-06-05,Retired,0.0
Kingsmill1864,KPQ,WA,1923-07-01,1935-01-15,Died,0.0
Kirk1967,00AOO,SA,2002-07-01,2008-06-30,Retired,0.0
Kitching1970,247512,VIC,2016-10-25,,,1.0
Kneebone1876,KPT,SA,1931-04-01,1931-12-18,Defeated,1.0
Knight1943,KPV,ACT,1975-12-13,1981-03-04,Died,0.0
Knowles1951,TH4,WA,1984-12-01,2005-06-30,Retired,0.0
Kroger1959,G1N,VIC,2008-07-01,2014-06-30,Defeated,0.0
Lacey1900,KPZ,TAS,1965-07-01,1971-06-30,Defeated,0.0
Lajovic1921,KQD,NSW,1975-12-13,1985-06-30,Retired,0.0
Lambie1971,250026,TAS,2014-07-01,2017-11-14,Resigned,0.0
Lambie1971,250026,TAS,2019-07-01,,,
Lamp1895,KQF,TAS,1938-07-01,1950-06-30,Defeated,0.0
Large1878,KQH,NSW,1941-07-01,1951-03-19,Defeated,0.0
Latham1882,KQL,WA,1942-10-08,1943-08-20,Defeated,1.0
Laucke1914,KQN,SA,1967-11-02,1981-06-30,Retired,1.0
Laught1907,KQQ,SA,1951-04-28,1969-05-13,Died,0.0
Lawrie1907,KQV,QLD,1965-07-01,1975-11-11,Retired,0.0
Lawson1875,KQZ,VIC,1929-07-01,1935-06-30,Retired,0.0
Lazarus1965,108616,QLD,2014-07-01,2016-07-02,Defeated,0.0
Leckie1872,KR9,VIC,1935-07-01,1947-06-30,Defeated,0.0
Lees1948,8U4,SA,1990-04-04,2005-06-30,Defeated,1.0
Lewis1932,NG4,VIC,1976-12-17,1993-06-30,Retired,1.0
Leyonhjelm1952,111206,NSW,2014-07-01,2019-03-01,,0.0
Lightfoot1936,WP6,WA,1997-05-19,2008-06-30,Retired,1.0
Lillico1905,KRG,TAS,1959-07-01,1974-04-11,Retired,0.0
Lindgren1969,258337,QLD,2015-05-21,2016-07-02,Defeated,1.0
Lines1953,112096,WA,2013-05-15,,,1.0
Little1914,KRU,VIC,1968-07-01,1974-05-18,Defeated,0.0
Long1870,KRX,TAS,1910-07-01,1918-12-20,Resigned,0.0
Loosley1952,BS4,NSW,1990-07-01,1995-05-19,Resigned,0.0
Ludlam1970,I07,WA,2008-07-01,2017-07-14,Resigned,0.0
Ludwig1959,84N,QLD,1999-07-01,2016-05-09,Retired,0.0
Lundy1967,7G6,ACT,1996-03-02,2015-03-24,Resigned,0.0
Lynch1867,KRZ,WA,1907-01-01,1938-06-30,Defeated,0.0
MacDonald1880,KS9,QLD,1922-05-26,1922-12-15,Defeated,1.0
MacDonald1880,KS9,QLD,1928-08-01,1928-11-16,Defeated,1.0
MacDonald1880,KS9,QLD,1932-07-01,1937-08-17,Died,0.0
MacDonald1892,KS7,WA,1935-03-05,1947-06-30,Defeated,1.0
Macdonald1945,YW4,QLD,1990-07-01,2019-06-30,Resigned,0.0
Macdonald1954,CX5,NSW,1993-07-01,1999-06-30,Defeated,0.0
Macdonald1954,CX5,NSW,2000-05-04,2008-06-30,Retired,1.0
Macfarlane1844,KSH,TAS,1901-03-29,1910-06-30,Defeated,0.0
MacGibbon1934,YH4,QLD,1978-07-01,1999-06-30,Defeated,0.0
Mackay1960,9L6,TAS,1996-03-08,2005-07-29,Resigned,1.0
Mackellar1844,KSJ,NSW,1903-10-08,1903-11-30,Resigned,1.0
Macklin1943,2I4,QLD,1981-07-01,1990-06-30,Retired,0.0
Madigan1966,217571,VIC,2011-07-01,2016-07-02,Defeated,0.0
Maguire1945,7I4,SA,1983-03-05,1993-06-30,Defeated,0.0
Maher1891,KSL,QLD,1949-12-10,1965-06-30,Retired,0.0
Margetts1955,DX5,WA,1993-07-01,1999-06-30,Defeated,0.0
Marriott1913,KSN,TAS,1953-03-03,1953-05-08,Term Expired,1.0
